source_key,citation,url,reachability,access,scale_system,notes,verified,clauses_read
SRC-FDA-CBER-2024,"FDA CBER, Q&A webinar accompanying Human Gene Therapy Products Incorporating Human Genome Editing, 29 Feb 2024",https://www.fda.gov/media/177579/download,open,full-text-read,GUIDE RNA for genome editing - NOT oligonucleotide drug substance generally,"Verbatim: 'we recommend the purity of gRNA full-length product to be greater than or equal to 80% and that you identify any impurities that are present at greater than or equal to 1%', with the caveat that the criterion depends on method sensitivity and a lower value may be justified. This is the true source of the '>=80% by LC / 1%' rule; it is a recommendation for gRNA, not a specification for siRNA DS.",2026-09-17 checked against source,
SRC-EMA-OLIGO-2024,"EMA draft Guideline on the Development and Manufacture of Oligonucleotides, EMA/CHMP/CVMP/QWP/262313/2024",https://www.ema.europa.eu/en/documents/scientific-guideline/draft-guideline-development-manufacture-oligonucleotides_en.pdf,open,full-text-read,oligonucleotide DS and DP - regulatory guidance (draft),"Verbatim: 'In general, an identification threshold of 1.0% is accepted... In general, a qualification threshold of 1.5% is accepted.' Also: dsRNA should be analysed under both denaturing and non-denaturing conditions. Contains no 80% purity rule. | 2026-09-18 RE-READ IN FULL (27 pages) AND SUPERSESSION-CHECKED: STILL A DRAFT. Consultation closed 31/01/2025 and it has not been finalised; no overview of comments has been published. ATTRIBUTION PRECISION: the cover page prints 'EMA/CHMP/CVMP/QWP/262313/202424', a typographical error carried into EMA's own web metadata; the running footer prints 'EMA/CHMP/CVMP/QWP/262313/2024'. NEW CONTENT beyond the thresholds already registered. VERBATIM: 'For double stranded oligonucleotides, impurity characterisation is required both at the level of the individual single strand intermediates, before annealing, and also on the double strand active substance. The latter is performed under non-denaturing conditions, as to quantify residual single strands in the double strand active substance.' VERBATIM: 'The amount of each single strand present in the duplex as an impurity should be determined and specified.' AND ON ICH SCOPE, VERBATIM: 'Synthetic oligonucleotides are out of the scope of ICH Q6A' and 'Oligonucleotides are excluded from the scope of ICH Guideline Q3A/VICH GL10'. CRITICAL SCOPING POINT: the ONLY place the words 'full length' appear in this guideline is as an IMPURITY GROUP LABEL for a phosphorothioate antisense oligonucleotide, not as a main-peak purity attribute. CLAUSES READ AND RECORDED 2026-09-25 so the checklist's anchors resolve against this row: s4.2.2 (Description of Manufacturing Process and Process Controls), which is where the guideline DECLINES enzymatic synthesis - verbatim, 'In addition to solid-phase synthesis, alternative synthesis methods (e.g., liquid synthesis, enzymatic synthesis) could be used. However, at the time the guideline was written these methods were considered too premature to be included' - and immediately imposes a duty that survives the decline: 'Irrespective of the manufacturing strategy, the dossier should describe relevant process characteristics and equipment in adequate detail.' Also s4.3.2 (purge arguments and the toxicological-qualification fallback) and s4.9 (water grade, inside a section titled 'Active Substance in Solution', which our spray-dried powder is not). ANY ROW ANCHORING HERE IS ANCHORING TO A DRAFT (Q-070).","2026-09-17 checked against source | 2026-09-18 re-read in full; status page checked, still draft 19 months after consultation closed; 2026-09-25 s4.2.2, s4.3.2 and s4.9 re-read verbatim; 'protein' confirmed absent (0 occurrences) and draft status re-confirmed from the document's own cover page",s4.2.2; s4.3.2; s4.9
SRC-MEDINA-2022,"Medina, Scholl, Raedle, Film thickness and glycerol concentration mapping of falling films, Micromachines 2022, 13:2184",https://doi.org/10.3390/mi13122184,open access (PMC9785223),full-text-read,general falling-film hydrodynamics - not pharma,"Verbatim: 'falling film evaporators operate with a low film thickness between 0.2 and 2 mm'. This is the real source for the 0.2-2 mm figure, which is not in the Wikipedia or Pope pages.",2026-09-17 checked against source,
SRC-EFSAN-MVR,"Efsan, MVR applications (vendor technical page)",https://efsan.com/en/mvr-applications-sugar-dairy-salt-ethanol/,open,web-page-read,vendor; sugar/dairy/salt/ethanol evaporation,Verbatim: the compressor 'typically consumes only 15 to 25 kWh of electricity per ton of evaporated water'. Application-dependent: dairy practice is lower (see SRC-TETRAPAK-DPH) and high-salinity duty is much higher.,2026-09-17 checked against source,
SRC-TETRAPAK-DPH,"Tetra Pak Dairy Processing Handbook, Evaporators",https://dairyprocessinghandbook.tetrapak.com/chapter/evaporators,open,web-page-read,dairy evaporation,"'Mechanical vapour recompression makes it possible to evaporate 80-100 kg of water with 1 kWh', i.e. about 10-12.5 kWh per tonne - lower than the general 15-25 kWh/t figure, at low temperature lift.",2026-09-17 checked against source,
SRC-VEHRING-2008,"Vehring, Pharmaceutical particle engineering via spray drying, Pharm. Res. 2008, 25(5):999-1022",https://doi.org/10.1007/s11095-007-9475-1,open access (PMC2292490),full-text-read,general pharma spray drying,"Origin of the Peclet framework used here: Pe = evaporation rate / (8 x liquid-phase diffusivity), with the evaporation rate defined by the d-squared law. Low Pe gives dense particles near true density; high Pe gives surface enrichment and hollow, dimpled or wrinkled particles. NOTE: automated extraction of this equation from rendered HTML produces dimensionally impossible variants - check dimensions by hand.",2026-09-17 checked against source,
SRC-BPI-HOLDTIME-2025,"Muralidharan et al., Microbial-control hold-time assessments, BioProcess International 2025, 23(3):26",https://eu-assets.contentstack.com/v3/assets/blt0a48a1f3edca9eb0/blta4265e892bfaaeab/67cb5255e5bdb3e74089566e/23-3-Muralidharan.pdf,open,full-text-read,MAMMALIAN CELL CULTURE biologics - NOT synthetic oligonucleotides,"Recorded because the bioburden/endotoxin ladder used on our microbial page matches this article almost verbatim: intermediate stages 100 CFU/10 mL reducing from 30 to 10 CFU/10 mL toward DS; endotoxin 5 EU/mL down to 1 EU/mL; 0.25-1 EU/mL at final purification. Upstream rung is 1 CFU/10 mL. Transferability to an oligonucleotide DS process is unestablished. | 2026-09-18 CONFIRMED AS THE TRUE SOURCE OF THE SITE'S LADDER, read directly: every figure on the microbial page is in this article, in order, describing mammalian cell culture - '100 CFU/10 mL', 'from 30 to 10 CFU/10 mL', '5 EU/mL to as low as 1 EU/mL', '0.25-1 EU/mL'. All are hedged in the original as 'typically are' / 'generally are', i.e. a description of practice, not limits, and for the wrong modality. R-012 is closed by this. RELIABILITY FLAG on the article itself: it attributes a list of six organisms including Bacillus to USP <1111>; the harmonised counterpart chapter Ph. Eur. 5.1.4 was read in full and names no Bacillus.",2026-09-17 checked against source | 2026-09-18 re-read; every ladder figure located in the article text,
SRC-US7497950,"Zydney & van Reis, Highly selective membrane systems and methods for protein ultrafiltration (US7497950)",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/7497950,open,web-page-read,protein ultrafiltration - general membrane principle,States that conventional multistage ultrafiltration is grossly inefficient for fractionating proteins with molecular-weight ratios less than about five. Used here for the lower bound on what UF can resolve.,2026-09-17 checked against source,
SRC-MWCO-REVIEW-2024,Molecular weight cut-off determination in ultra- and nanofiltration: review of methods,https://www.sciencedirect.com/science/article/pii/S1383586624023517,"open access (CC-BY); the published version is deposited at the Karlsruhe Institute of Technology repository, publikationen.bibliothek.kit.edu/1000172891/153840676 - downloaded and text-extracted in full (13 pages)",full-text-read,general membrane science,"SOURCE UPGRADE: this was abstract-only while carrying the pore-distribution claim on the site's most important page. Now read in full. Full record: Imbrogno, Calvo, Breida, Schwaiger, Schaefer, 'Molecular weight cut off (MWCO) determination in ultra- and nanofiltration: Review of methods and implications on organic matter removal', Sep. Purif. Technol. 2025, 354:128612, online 3 July 2024. VERBATIM: 'Membrane molecular weight cut-off (MWCO) is defined as the MW of the organic tracer that is 90 % retained by the membrane, determined by drawing the organic tracer retention as a function of the tracer MW'. The claim already on the site (real membranes have broad pore-size distributions and blurred cut-offs) is confirmed. NEW AND DIRECTLY RELEVANT TO A POLYANION: the review reports that CHARGED solutes of 1.5-3 kDa show only 60-80% retention below a 30 kDa MWCO, i.e. charge changes apparent retention substantially - which is the mechanism the charged-membrane siRNA work exploits.",2026-09-17 checked against source | 2026-09-18 full text obtained from the KIT repository and read,
SRC-HUGHES-2024,"Hughes, D.T., The effect of turbulence on the minimum thickness of a liquid film flowing down a vertical tube, Chem. Eng. Res. Des. 2024, 206:210-225",https://arxiv.org/pdf/2403.06142,"open access (green) - arXiv:2403.06142 submitted version, confirmed via the Unpaywall API (is_oa true, oa_status green); PDF downloaded and read",full-text-read,water and simple aqueous solutions on vertical stainless steel; laboratory/pilot tube rigs - NOT a polyelectrolyte solution,"Primary route to the MINIMUM WETTING RATE, which is the real turndown constraint on a falling-film evaporator and is absent from this knowledge base. Reports, with attribution, the values measured by Morison (SRC-MORISON-2006, genuinely closed). VERBATIM: 'Values of minimum wetting rate that have been reported in the literature for water on a vertical steel surface are presented in terms of the mass flowrate per unit width of surface (G*).' VERBATIM: 'Morison and Tandon [23] obtained values of G* that decreased from 0.16 kg m-1 s-1 to 0.12 kg m-1 s-1 as the water temperature increased from 20 C to 70 C.' VERBATIM: 'Morison et al. [18] obtained a value of 0.104 kg m-1 s-1 for water at both 25 C and 60 C.' VERBATIM: 'Paramalingam, Winchester and Marsh [21] obtained a value of 0.222 kg m-1 s-1 for 20 C water.' Morison's rig, verbatim: 'a 1 m long, 48 mm internal diameter, vertical, stainless steel' tube. Below G* the film breaks into rivulets and dry patches form, which is a fouling and heat-transfer failure, not a throughput inconvenience. See Q-018, R-004.",2026-09-18 PDF read in full; journal version and DOI 10.1016/j.cherd.2024.04.059 confirmed via Unpaywall,
SRC-MORISON-2006,"Morison, K.R., Worth, Q.A.G., O'dea, N.P., Minimum Wetting and Distribution Rates in Falling Film Evaporators, Food Bioprod. Process. 2006, 84(4):302-310",https://doi.org/10.1205/fbp06031,"paywalled - genuinely closed, CHECKED not assumed: the Unpaywall API returns is_oa false, oa_status closed, has_repository_copy false, oa_locations empty",record-only,"water, glycerol, alcohol and calcium chloride solutions in a 1 m long 48 mm ID vertical stainless steel tube","Primary source of the minimum-wetting-rate values. Its numbers are quoted with attribution by SRC-HUGHES-2024, which is openly available at arXiv, so the figures are usable without this paper; the primary is registered so the chain is visible. Author list, journal, volume, issue, pages and year verified against Crossref. NOT READ - no number should be attributed directly to this row.",2026-09-18 record verified via Crossref; open-access status checked via Unpaywall and is genuinely closed,
SRC-NNDB-TURNER,"Nearest Neighbor Database (NNDB), Turner 2004 Watson-Crick helices parameter tables, University of Rochester",https://rna.urmc.rochester.edu/NNDB/rna_2004/rna_2004_watson_crick_helices.html,open - web page and linked plain-text parameter tables read in full,web-page-read,"UNMODIFIED Watson-Crick RNA duplexes - no 2'-OMe, 2'-F or phosphorothioate parameters","Open republication of the nearest-neighbour thermodynamic parameters needed to CALCULATE an RNA duplex melting temperature. Attributes them, verbatim, to 'Xia, T., SantaLucia, J., Jr., Burkard, M.E., Kierzek, R., Schroeder, S.J., Jiao, X., Cox, C. and Turner, D.H. (1998) Thermodynamic parameters for an expanded nearest-neighbor model for formation of RNA duplexes with Watson-Crick pairs. Biochemistry, 37, 14719-14735.' Initiation terms as printed: dG37 intermolecular initiation 4.09 kcal/mol; AU end penalty 0.45 kcal/mol per AU end; dH intermolecular initiation 3.61 kcal/mol; dH AU end penalty 3.72 kcal/mol. Stacking free energies retrieved as plain text (range -3.4 to +1.3 kcal/mol). HONEST LIMIT, and it matters: this parameter set is for UNMODIFIED RNA. Applying it to a fully modified duplex is an extrapolation and must be labelled as one. The page does not carry the Tm equation itself. See Q-030.",2026-09-18 page and dG parameter table read and transcribed,
SRC-XIA-1998,"Xia, SantaLucia, Burkard, Kierzek, Schroeder, Jiao, Cox, Turner, Thermodynamic parameters for an expanded nearest-neighbor model for formation of RNA duplexes with Watson-Crick pairs, Biochemistry 1998, 37:14719-14735",https://pubmed.ncbi.nlm.nih.gov/9778347/,"paywalled at ACS; the parameters themselves are openly republished at SRC-NNDB-TURNER, which is the better citation for the numbers",record-only,optical melting of 90 unmodified oligoribonucleotide Watson-Crick duplexes,"Primary source of the RNA nearest-neighbour parameter set. Registered so the provenance chain behind SRC-NNDB-TURNER is visible. NOT READ - attribute numbers to the NNDB republication, which was read.",2026-09-18 record confirmed via the NNDB citation line and PubMed 9778347; full text not retrieved,
SRC-MALEK-2019,"Malek-Adamian, Fakhoury, Arnold, Martinez-Montero, Shoichet, Damha, Effect of Sugar 2',4'-Modifications on Gene Silencing Activity of siRNA Duplexes, Nucleic Acid Ther. 2019, 29(4):187-194",https://pmc.ncbi.nlm.nih.gov/articles/PMC6686699/,open access at PubMed Central PMC6686699,full-text-read,bench UV thermal denaturation; 21-nucleotide siRNA duplexes with THREE modified guide-strand positions - NOT a fully modified duplex and NOT our sequence,"The measured duplex melting temperature this project had recorded as a blank. Table 1: unmodified parent duplex Tm = 58.1 C; 2'-F 64.1 C (+2.0 C/nt); 2'-F,4'-OMe 62.4 C; 2'-OMe 61.2 C (+1.0 C/nt); 2'-OMe,4'-F 60.5 C; 2'-OMe,4'-OMe 60.4 C; araF 56.0 C; araF,4'-OMe 57.3 C; 4'-OMe-dT 62.4 C. VERBATIM: 'Tm values of duplexes increased upon incorporation of modified ribouridines and 4'-OMe-dT (+1 C/nt to 2 C/nt), whereas a slight decrease (ca. -0.3 C/nt to 0.7 C/nt) was observed for the arabinose modifications.' Conditions, verbatim: 'a buffer containing 10 mM sodium phosphate (pH 7.2) with 100 mM NaCl and 0.1 mM EDTA'; ramp 0.5 C/min. CONSEQUENCE for Q-030/Q-039/R-003: a duplex melting near 58-64 C is NOT the binding constraint against a moisture-shifted powder glass transition of 38-53 C (SRC-KEIL-2021). Tg binds first. DO NOT extrapolate +1 to +2 C/nt across all 21 positions - it was measured over three.",2026-09-18 read in full at PMC6686699; no erratum found,
SRC-ADDEPALLI-2010,"Addepalli, Meena, Peng, Wang, Fan, Charisse, Jayaprakash, Rajeev, Pandey, Lavine, Zhang, Jahn-Hofmann, Hadwiger, Manoharan, Maier, Modulation of thermal stability can enhance the potency of siRNA, Nucleic Acids Res. 2010, 38(20):7320-7331",https://pmc.ncbi.nlm.nih.gov/articles/PMC2978349/,"open access at PubMed Central PMC2978349; the Tm tables themselves are in supplementary data, which was NOT retrieved",full-text-read,bench UV melting in 154 mM sodium chloride; chemically modified siRNA duplexes from an industrial group,"Bounds how far a modification can move duplex stability. VERBATIM: 'Similar to the base pair mismatches, the degree of thermal destabilization of the duplex varied between 1 and 12 K compared to the unmodified parent compound.' VERBATIM on method: 'Temperature was increased linearly at a rate of ~0.5 C/min while the absorbance was monitored continuously', at '~0.4 OD/ml' in 'sterile 0.9% physiological saline solution (154 mM sodium chloride)'. Absolute Tm values sit in supplementary tables S1-S7 which were not pulled, so use this row for the RANGE of destabilisation only, not for any absolute Tm. Author list, volume, issue, pages and DOI 10.1093/nar/gkq568 verified via Crossref; no erratum recorded.",2026-09-18 main text read; supplementary tables NOT retrieved; record verified via Crossref,
SRC-CN119265174,"Tianjin Kailaiying (Asymchem), Immobilized enzyme for catalyzing RNA ligation reaction, preparation method and application (CN119265174B, granted 2025-04-29)",https://patents.google.com/patent/CN119265174B/en,"reachable; description served as English machine translation by the publisher and read in full. NUMERIC TABLES 12-18 ARE IMAGE-ONLY and are NOT in the text layer, so the per-condition conversion, purity and endotoxin tables could not be read; no WO/US/EP family member exists to supply a text version",web-page-read,"lab/pilot continuous flow: 5 mL packed column, ~3.5 g immobilised enzyme, 600 uM substrate, 25 C, 5-20 min residence; genuinely modified siRNA blocks (2'-OMe, 2'-F, 5'-PS, one dT)","STRONGEST public evidence that an immobilised RNA ligase holds duty on FULLY MODIFIED siRNA. VERBATIM: 'the product conversion rate reaches over 92%, and the sample can be continuously operated for over 100 hours without reduction of the conversion rate' (single feed); 'over 94%' for the split-feed variant. VERBATIM on capacity: 'The two continuous flow reaction modes can achieve the capacity of a columnar reactor per litre per day to generate products of more than 1Kg'. THAT IS A COLUMN-VOLUME PRODUCTIVITY, NOT A REACTOR TITRE - do not read it as g/L for Q-016. BUT IT DOES NOT CLOSE Q-032: the same patent still heat-kills at 85 C for 15 min and then runs 'ion column purification', and the only impurity metric it reports is endotoxin, verbatim 'the level of the injection grade medicine of 0.25EU/mg can be reached'. No residual-protein figure in ppm, no log reduction, no ELISA anywhere in the document. INFERENCE (ours): carriers AEC-9008/9060-9063 differ in 'chelate metal ions' and Example 11 washes with imidazole, so this is IMAC-type non-covalent immobilisation, the format most prone to leaching - which raises rather than lowers the burden on R-002. | VERIFICATION PASS CORRECTIONS 2026-09-18, both narrowing earlier wording. (1) 'The only impurity metric reported is endotoxin' is OVERSTATED. Example 12 states 'The purity, water content and endotoxin content of the product were measured and the results are shown in table 15 below.' Purity and water content ARE reported metrics; what is true is that Table 15's body does not render on the publisher's page, so 0.25 EU/mg is the only impurity NUMBER retrievable. The residual-protein finding stands unchanged: a full-text search for 'residual protein', 'ppm', 'ng/mg', 'ELISA', 'log reduction' and 'host cell' returns ZERO hits. (2) The Example 13 substrate is called 'unnatural RNA' / 'non-natural RNA' throughout; the word 'siRNA' appears only in the general background. Describing the substrate as siRNA is OUR framing from the modification pattern, not the patent's label.","2026-09-18 description read in full via the publisher's English rendering; bibliographic panel (assignee, inventors, priority 2024-12-09, grant 2025-04-29) read from the same record; table images not retrievable | 2026-09-18 independently re-verified by a second agent; two elements narrowed, the residual-protein negative confirmed",
SRC-WO2025262452,"Novartis AG, Nucleic acid ligation method (WO2025262452A1, published 2025-12-26)",https://patents.google.com/patent/WO2025262452A1/en,"reachable; full description in the text layer, downloaded and read",web-page-read,"bench; 1 mM substrate; six chemically modified fragments (2'-OMe, 2'-F, dT, PS, GalNAc) assembling a 22/23-mer GalNAc siRNA; T4 RNA ligase 2 fused to a polyphosphate kinase","Pins the ATP stoichiometry that the ligation route has to pay for. VERBATIM: 'To generate the full-length oligonucleotide (in this example, siRNA) product from the oligonucleotide fragments as depicted in Fig. 3, the ligase must catalyze four ligation reactions. Therefore, to process 1 mM substrate, at least 4 mM ATP is required. In reality, an excess of ATP is necessary to achieve complete ligation of the substrate.' ATP REGENERATION HAS A HARD CEILING, VERBATIM: 'the reaction reached equilibrium with a maximum of 66 % conversion to ATP (Fig. 2), which is consistent with previous reports.' Termination is a heat kill, verbatim 'quenched by heating to 95 C for 20 min to inactivate the enzyme' - NOT immobilisation and NOT filtration. INFERENCE (ours): 1 mM of a ~16 kDa GalNAc duplex is about 16 g/L; the specification's 'about 6 mM' appears only in embodiment boilerplate, not in any worked example, so treat ~16 g/L as the exemplified order and ~95 g/L as aspiration. The 4 mM ATP requirement is in direct tension with the <100 uM ATP that suppresses the adenylylated dead end (SRC-PBCV1-2014). | VERIFICATION PASS NOTE 2026-09-18: quotes confirmed, applicant Novartis AG, published 2025-12-26, priority 2024-06-18. The 'at least 4 mM ATP' sentence is CONDITIONAL on the specific four-ligation assembly of its Figure 3; quoting it as a free-standing rule strips that context.",2026-09-18 description read in full; bibliographic record read from the publisher panel,
SRC-CODEXIS-PATENTS,"Codexis Inc., four ligation patent families: WO2025240509A9, WO2025221925A1, WO2025221909A1, WO2026102434A1 (2025-2026)",https://patents.google.com/patent/WO2025221925A1/en,reachable; all four descriptions downloaded in full and machine-searched,full-text-read,n/a - the finding is an ABSENCE of data,"NEGATIVE RESULT, and it is load-bearing. The company most vocal about ligation-based siRNA manufacture reports NO absolute conversion, NO product titre and NO residual-protein clearance anywhere in its own patent estate. Enzyme loading is given only as a range, verbatim: 'the ligase is provided at concentrations from about 0.01 g/L to about 50 g/L'. Activity is reported only relative to a parent, verbatim: 'The relative percent conversion was measured as the % product of the variant relative to the % product of the reference.' The only occurrence of 'ppm' across all four documents is in the abbreviation list. Machine search found zero instances of 'residual protein', 'host cell protein' or any clearance figure; 'immobilized' appears only in embodiment boilerplate with no measured performance. WO2026102434A1 is separately interesting: it is filed on enzymatically destroying AMP and states verbatim that 'the AMP can also become adenylated (AppA intermediate), thereby generating an adenylated reaction product' - a second company after Novartis filing on the adenylylation burden. See Q-032, R-010.",2026-09-18 all four descriptions read in full and machine-searched; bibliographic records read from the publisher panels,
SRC-CODEXIS-PR-2024,"Codexis Inc., Codexis Unveils Pioneering Enzymatic Synthesis Data to Enable the Future Manufacturing of RNAi Therapeutics (investor-relations press release, 14 November 2024)",https://ir.codexis.com/news-events/press-releases/detail/410/codexis-unveils-pioneering-enzymatic-synthesis-data-to-enable-the-future-manufacturing-of-rnai-therapeutics,open; page rendered and read,web-page-read,vendor announcement around TIDES Europe 2024,"Registered to SCOPE a circulating claim. The only numeric claim in the release is, verbatim, 'Achieved incorporation efficiency of >98% during sequential enzymatic oligo synthesis' - and that is the template-independent sequential chemistry, NOT dsRNA-ligase ligation. The release describes the ligase work only qualitatively. The '>95% conversion / 100 g/L / >98% purity' trio on SRC-CODEXIS is therefore not corroborated by the company's own announcement.","2026-09-18 page read in full; checked for subsequent correction notices, none present",
SRC-HONGENE-BROCHURE-2025,"Hongene Biotech, Chemoenzymatic ligation - Redefining therapeutic siRNA and sgRNA manufacturing (corporate brochure, August 2025)",https://www.hongene.com/content/uploads/sites/3/2025/08/hongene-chemoenzymatic-ligation-brochure.pdf,open; 5-page PDF downloaded and text layer extracted,full-text-read,"vendor marketing literature, but it names specific GMP batches: ~960 g and ~1,020 g of 2'-OMe/2'-F PS/PO siRNA","THE MOST CONSEQUENTIAL SINGLE SOURCE FOUND FOR THE FILTRATION-LED THESIS, and it cuts against it. VERBATIM: 'Importantly, we have now translated the technology to our GMP facilities where we have manufactured siRNA at kilogram scale to support clinical trials.' Capability table, transcribed verbatim: 'Inclisiran siRNA - 21/23 2'-OMe, 2'-F, 2'-deoxy PS/PO P-to-P 26% 97%'; 'Divalent siRNA ... 16/21 ... P-to-P 19% 97%'; 'C-to-P siRNA 21/23 2'-OMe, 2'-F PS/PO C-to-P 43% 96%'; 'CDMO siRNA No ND 2'-OMe, 2'-F PS/PO C-to-P ~960 g 95%'; 'CDMO siRNA Yes ND 2'-OMe, 2'-F PS/PO P-to-P ~1,020 g 97%'. FOOTNOTES, VERBATIM AND LOAD-BEARING: '1. P-to-P = HPLC purified fragments and purified siRNA; C-to-P = UF/DF processed fragments and HPLC purified siRNA; 2. Unoptimized yields based on theoretical MEC, calculated from lowest yielding fragment; 3. Denaturing IPRP-UPLC method'. TWO THINGS FOLLOW. (a) Overall yields are 19-43%, NOT >90%; the '>95% conversion' figures in circulation are per-ligation conversions and must never be conflated with mass yield in a balance. Note the yield definition is itself conservative - unoptimised, against theoretical maximum expected conversion, from the lowest-yielding fragment. (b) BOTH named routes end in HPLC purification of the siRNA itself; filtration replaces FRAGMENT chromatography, not final-product chromatography. INFERENCE (ours): no named commercial ligation practitioner is currently running a chromatography-free drug-substance train.","2026-09-18 brochure read in full; the kilogram sentence, every table row and all three footnotes re-extracted and checked character-for-character by the lead session",
SRC-NEB-WO2023173098,"New England Biolabs Inc., Immobilized enzyme compositions and methods (WO2023173098A1, published 2023-09-14)",https://patents.google.com/patent/WO2023173098A1/en,reachable; full description downloaded and machine-searched,full-text-read,"bench packed-bed and bead slurries; Example 3 is T4 DNA LIGASE on a FAM-labelled synthetic double-stranded DNA duplex at sub-micromolar scale - a ligase, but unmodified DNA at microlitre volumes, not a modified-siRNA process; the leaching characterisation is on a restriction endonuclease (BspQI), NOT on the ligase","SCOPING CORRECTED 2026-09-25, AND THE CORRECTION MATTERS BECAUSE THE OLD ENTRY DISCARDED THE BEST IMMOBILISED-LIGASE SOURCE IN THE PUBLIC RECORD. This row previously read 'a restriction endonuclease (BspQI), DNA substrate - NOT a ligase'. That is wrong: EXAMPLE 3 IS TITLED, VERBATIM, 'IMMOBILIZED T4 DNA LIGASE DISPLAYS STABILITY INCLUDING THERMOSTABILITY', and it supplies the only demonstrated COVALENT immobilised-ligase format anywhere - SNAP-tag with an O6-benzylguanine ligand on agarose beads, the format R-002 would prefer over the non-covalent IMAC route that SRC-CN119265174 uses. It also supplies the head-to-head thermal comparison that refutes this register's earlier framing of the enzyme fork: soluble ligase 'showed no or residual ligase activity after treatment at 45 C for 30 min, indicating that these soluble form ligases was subjected to irreversible denaturation', while the benzylguanine-agarose form retained activity at 55 and 65 C - and MAGNETIC BEADS GAVE NO PROTECTION, so the effect is carrier-dependent rather than a property of immobilisation. Consequence: immobilisation can make an enzyme HARDER to kill, and a kill validated on the soluble form cannot be assumed to inactivate the immobilised one (R-021, C-012, Q-059). Reuse is demonstrated at 20 consecutive ligation reactions matching soluble performance. WHAT THE OLD ENTRY GOT RIGHT AND IS KEPT: this is not a modified-siRNA process, and the NEGATIVE RESULT on Q-032 stands. The leaching characterisation is a FUNCTIONAL gel assay rather than a protein-mass measurement - verbatim, 'indicating little or very low leaching from the BspQI column during the passage of pUC19 substrate' - and it is correctly scoped to BspQI; there is NO leaching assay for the ligase at all. Machine search found 'leaching' three times and no ppm, ng/mg, ELISA or total-protein figure anywhere. An activity-based leaching assay has a floor set by specific activity, not protein mass, and is silent about denatured or fragmented leached protein, which is what an immunogenicity argument turns on (ours). A FIGURE REPORTED DURING RESEARCH IS NOT CARRIED: a ligase loading of '1 mg protein per mL beads' does not verify against this document - the immobilisation loadings it states are 0.2 mg protein per mL bead slurry for BspQI and 0.2, 0.5 and 1 mg/mL for a T7 preparation, so no ligase loading is attributed to this source.",2026-09-18 description read in full and machine-searched,
SRC-T7RNAP-2024,"Shieh, Swartz, Rustandi, Detection of residual T7 RNA polymerase used in mRNA in vitro transcription by Simple Western, Electrophoresis 2024, 45(19-20):1834-1839",https://d-nb.info/1333573227/34,"CC-BY licensed and served openly by the German National Library deposit mirror at d-nb.info, retrieved and read in full - DO NOT record this as paywalled; the Europe PMC record MED/38899564 is abstract-only and Unpaywall shows no repository copy, so index status understates reachability here",full-text-read,"mRNA process development at Merck; a 99 kDa nucleic-acid-binding polymerase separating from a ~1 MDa mRNA - AN ANALOGUE ONLY, the size ratio is INVERTED versus a ~35-55 kDa ligase and a ~14 kDa siRNA duplex, so the numbers do NOT transfer","The only quantitative enzyme-clearance numbers found anywhere in the adjacent nucleic-acid space. VERBATIM: 'T7 RNAP concentration in the Proteinase K + TFF sample was below the LOD, but even without Proteinase K treatment, a 98% clearance and 1.6 log reduction in T7 RNAP were achieved using oligo-dT affinity chromatography.' Assay floor, verbatim: 'to quantitate concentrations as low as 5.3 ng/mL with good precision and accuracy'. The standard control strategy, verbatim: 'a DNase enzyme and proteinase K are typically added to digest template DNA and additional enzymes (including T7 RNAP), respectively... tangential flow filtration (TFF) is commonly used to clear digested T7 RNAP'. And the regulatory framing, verbatim: 'regulators recommend that IVT impurities including residual protein present in mRNA drug substances should be minimized and well-controlled'. INFERENCE (ours): filtration is used AFTER proteolysis, not instead of it, and a single unit operation delivers only 1-2 log. A filtration-only clearance argument for a ligase is the hard case.",2026-09-18 read in full from the CC-BY deposit mirror; record verified via Europe PMC MED/38899564; no erratum,
